data,hora,t,prec,q_obs
10/23/2002,0.354166667,9294,0,0.1048746
10/23/2002,0.375,9294.5,0,0.105085316
10/23/2002,0.395833333,9295,0,0.105085316
10/23/2002,0.416666667,9295.5,0,0.105085316
10/23/2002,0.4375,9296,0,0.105085316
10/23/2002,0.458333333,9296.5,0,0.1048746
10/23/2002,0.479166667,9297,0,0.104256252
10/23/2002,0.5,9297.5,0,0.103844177
10/23/2002,0.520833333,9298,0,0.103231904
10/23/2002,0.541666667,9298.5,0,0.102818321
10/23/2002,0.5625,9299,0,0.102212097
10/23/2002,0.583333333,9299.5,0,0.101207833
10/23/2002,0.604166667,9300,0,0.100208021
10/23/2002,0.625,9300.5,0,0.098035647
10/23/2002,0.645833333,9301,0,0.099029838
10/23/2002,0.666666667,9301.5,0,0.098435311
10/23/2002,0.6875,9302,0,0.097272714
10/23/2002,0.708333333,9302.5,0,0.096699187
10/23/2002,0.729166667,9303,0,0.096505287
10/23/2002,0.75,9303.5,0,0.096311776
10/23/2002,0.770833333,9304,0,0.095749089
10/23/2002,0.791666667,9304.5,0,0.095749089
10/23/2002,0.8125,9305,0,0.095749089
10/23/2002,0.833333333,9305.5,0,0.095936285
10/23/2002,0.854166667,9306,0,0.096311776
10/23/2002,0.875,9306.5,0,0.096505287
10/23/2002,0.895833333,9307,0,0.096505287
10/23/2002,0.916666667,9307.5,0,0.096699187
10/23/2002,0.9375,9308,0,0.097468155
10/23/2002,0.958333333,9308.5,0,0.097468155
10/23/2002,0.979166667,9309,0,0.098046243
10/23/2002,0,9309.5,0,0.098435311
10/23/2002,0.020833333,9310,0,0.098633089
10/23/2002,0.041666667,9310.5,0,0.099024486
10/23/2002,0.0625,9311,0,0.099611804
10/23/2002,0.083333333,9311.5,0,0.099811946
10/24/2002,0.104166667,9312,0,0.100007085
10/24/2002,0.125,9312.5,0,0.100403934
10/24/2002,0.145833333,9313,0,0.100807806
10/24/2002,0.166666667,9313.5,0,0.101207833
10/24/2002,0.1875,9314,0,0.101603956
10/24/2002,0.208333333,9314.5,0,0.101808101
10/24/2002,0.229166667,9315,0,0.102212097
10/24/2002,0.25,9315.5,0,0.102612151
10/24/2002,0.270833333,9316,0,0.102617696
10/24/2002,0.291666667,9316.5,0,0.103024905
10/24/2002,0.3125,9317,0,0.103024905
10/24/2002,0.333333333,9317.5,0,0.103231904
10/24/2002,0.354166667,9318,0,0.103231904
10/24/2002,0.375,9318.5,0,0.10343373
10/24/2002,0.395833333,9319,0,0.103844177
10/24/2002,0.416666667,9319.5,0,0.103844177
10/24/2002,0.4375,9320,0,0.103844177
10/24/2002,0.458333333,9320.5,0,0.10343373
10/24/2002,0.479166667,9321,0,0.103024905
10/24/2002,0.5,9321.5,0,0.103024905
10/24/2002,0.520833333,9322,0,0.102411928
10/24/2002,0.541666667,9322.5,0,0.101808101
10/24/2002,0.5625,9323,0,0.100807806
10/24/2002,0.583333333,9323.5,0,0.100007085
10/24/2002,0.604166667,9324,0.3,0.099218086
10/24/2002,0.625,9324.5,0.1,0.098435311
10/24/2002,0.645833333,9325,0.1,0.098046243
10/24/2002,0.666666667,9325.5,0,0.097272714
10/24/2002,0.6875,9326,0,0.096699187
10/24/2002,0.708333333,9326.5,0,0.096505287
10/24/2002,0.729166667,9327,0,0.096311776
10/24/2002,0.75,9327.5,0,0.096123847
10/24/2002,0.770833333,9328,0,0.096311776
10/24/2002,0.791666667,9328.5,0,0.095936285
10/24/2002,0.8125,9329,0,0.096311776
10/24/2002,0.833333333,9329.5,0,0.096505287
10/24/2002,0.854166667,9330,0,0.096505287
10/24/2002,0.875,9330.5,0,0.096699187
10/24/2002,0.895833333,9331,0,0.09708291
10/24/2002,0.916666667,9331.5,0,0.097468155
10/24/2002,0.9375,9332,0,0.097658712
10/24/2002,0.958333333,9332.5,0,0.09823793
10/24/2002,0.979166667,9333,0,0.098435311
10/24/2002,0,9333.5,0,0.098633089
10/24/2002,0.020833333,9334,0,0.099024486
10/24/2002,0.041666667,9334.5,0,0.099611804
10/24/2002,0.0625,9335,0,0.099811946
10/24/2002,0.083333333,9335.5,0,0.100202606
10/25/2002,0.104166667,9336,0,0.100403934
10/25/2002,0.125,9336.5,0,0.100605668
10/25/2002,0.145833333,9337,0,0.101207833
10/25/2002,0.166666667,9337.5,0,0.101603956
10/25/2002,0.1875,9338,0,0.101808101
10/25/2002,0.208333333,9338.5,0,0.102411928
10/25/2002,0.229166667,9339,0,0.102612151
