date,var_time_minutes,prec,transpiration,q_obs
10/5/2001,102,0,0.166,0.103676749
10/5/2001,102.5,0.02984,0,0.103676749
10/5/2001,103,0.04689,0,0.103676749
10/5/2001,103.5,0.02558,0,0.103676749
10/5/2001,104,0,0,0.103676749
10/5/2001,104.5,0,0,0.106212857
10/5/2001,105,0,0,0.106618769
10/5/2001,105.5,0,0,0.107026232
10/5/2001,106,0,0,0.104877738
10/5/2001,106.5,0,0,0.104877738
10/5/2001,107,0,0,0.104877738
10/5/2001,107.5,0,0,0.107845837
10/5/2001,108,0,0,0.105686116
10/5/2001,108.5,0,0,0.109087027
10/5/2001,109,0,0,0.109503924
10/5/2001,109.5,0.13641,0,0.109922414
10/5/2001,110,6.93598,0,0.110764197
10/5/2001,110.5,0.4,0,0.111612427
10/5/2001,111,0.27391,0,0.109401622
10/5/2001,111.5,0,0,0.10898242
10/5/2001,112,0,0,0.10898242
10/5/2001,112.5,0,0,0.107734427
10/5/2001,113,0,0,0.107321613
10/5/2001,113.5,0,0,0.106910382
10/5/2001,114,0,0,0.113328424
10/5/2001,114.5,0,0,0.120001716
10/5/2001,115,0,0,0.129021582
10/5/2001,115.5,0,0,0.140852178
10/5/2001,116,0,0,0.153182161
10/5/2001,116.5,0,0,0.164068998
10/5/2001,117,0,0,0.173730126
10/5/2001,117.5,0,0,0.181174658
10/5/2001,118,0,0,0.186077331
10/5/2001,118.5,0,0,0.188938196
10/5/2001,119,0,0,0.19038508
10/5/2001,119.5,0,0,0.191112672
10/6/2001,120,0,0,0.186543595
10/6/2001,120.5,0,0,0.185116749
10/6/2001,121,0,0,0.182996918
10/6/2001,121.5,0,0,0.180208188
10/6/2001,122,0,0,0.178144566
10/6/2001,122.5,0,0.15861,0.174757576
10/6/2001,123,0,0.166,0.172094408
10/6/2001,123.5,0,0.166,0.169471824
10/6/2001,124,0,0.166,0.166889206
10/6/2001,124.5,0,0.166,0.164345946
10/6/2001,125,0.00426,0,0.161221303
10/6/2001,125.5,0,0.07026,0.159375106
10/6/2001,126,0,0.166,0.156946355
10/6/2001,126.5,0,0.166,0.154554615
10/6/2001,127,0,0.166,0.152784761
10/6/2001,127.5,0,0.166,0.150456441
10/6/2001,128,0,0.166,0.148733516
10/6/2001,128.5,0,0.166,0.147595874
10/6/2001,129,0,0.166,0.146466934
10/6/2001,129.5,0,0.166,0.144789693
10/6/2001,130,0,0.166,0.14313166
10/6/2001,130.5,0,0.166,0.141492613
10/6/2001,131,0,0.166,0.140950446
10/6/2001,131.5,0.00853,0,0.139872336
10/6/2001,132,1.69217,0,0.138270612
10/6/2001,132.5,0.28244,0,0.136687231
10/6/2001,133,0.27391,0,0.136163477
10/6/2001,133.5,0,0,0.134088452
10/6/2001,134,0,0,0.132552962
10/6/2001,134.5,0,0,0.130532959
10/6/2001,135,0,0,0.129038184
10/6/2001,135.5,0,0,0.127560526
10/6/2001,136,0,0,0.126099789
10/6/2001,136.5,0,0,0.126099789
10/6/2001,137,0,0,0.130009627
10/6/2001,137.5,0,0,0.132008473
10/6/2001,138,0,0,0.134550302
10/6/2001,138.5,0,0,0.136098832
10/6/2001,139,0,0,0.138191298
10/6/2001,139.5,0,0,0.138719422
10/6/2001,140,0,0,0.136163477
10/6/2001,140.5,0,0,0.13564173
10/6/2001,141,0,0,0.134604225
10/6/2001,141.5,0,0,0.133574656
10/6/2001,142,0,0,0.133062828
10/6/2001,142.5,0,0,0.13204505
10/6/2001,143,0,0,0.131035055
10/6/2001,143.5,0,0,0.130532959
10/7/2001,144,0,0.07505,0.129534531
10/7/2001,144.5,0,0.166,0.129038184
10/7/2001,145,0,0.166,0.128051189
10/7/2001,145.5,0,0.166,0.127560526
10/7/2001,146,0,0.166,0.126584834
10/7/2001,146.5,0,0.166,0.126099789
10/7/2001,147,0,0.166,0.125616604
10/7/2001,147.5,0,0.166,0.125616604
10/7/2001,148,0,0.166,0.12513527
10/7/2001,148.5,0,0.166,0.124178128
10/7/2001,149,0,0.166,0.124178128
10/7/2001,149.5,0,0.166,0.123228307
10/7/2001,150,0,0.166,0.123228307
10/7/2001,150.5,0,0.166,0.123228307
10/7/2001,151,0,0.166,0.122756124
10/7/2001,151.5,0,0.166,0.121817179
10/7/2001,152,0,0.166,0.121817179
10/7/2001,152.5,0,0.166,0.120422212
10/7/2001,153,0,0.166,0.120422212
10/7/2001,153.5,0,0.166,0.120422212
10/7/2001,154,0,0.166,0.120422212
10/7/2001,154.5,0,0.166,0.120422212
10/7/2001,155,0,0.166,0.119960781
10/7/2001,155.5,0.00853,0,0.119501119
10/7/2001,156,0.00853,0,0.119043218
10/7/2001,156.5,0,0,0.118132673
10/7/2001,157,0,0,0.117229093
10/7/2001,157.5,0,0.11505,0.116779898
10/7/2001,158,0,0.166,0.115886665
10/7/2001,158.5,0,0.166,0.114559609
10/7/2001,159,0,0.166,0.113683359
10/7/2001,159.5,0,0.166,0.112381534
10/7/2001,160,0,0.166,0.111094617
10/7/2001,160.5,0,0.166,0.109822436
10/7/2001,161,0,0.166,0.108564824
10/7/2001,161.5,0,0.166,0.107734427
10/7/2001,162,0,0.166,0.106910382
10/7/2001,162.5,0,0.166,0.105686116
10/7/2001,163,0,0.166,0.105686116
10/7/2001,163.5,0,0.166,0.105281151
10/7/2001,164,0,0.166,0.104877738
10/7/2001,164.5,0,0.166,0.104877738
10/7/2001,165,0,0.166,0.104877738
10/7/2001,165.5,0,0.166,0.104877738
10/7/2001,166,0,0.166,0.104877738
10/7/2001,166.5,0,0.166,0.104877738
10/7/2001,167,0,0.166,0.104877738
10/7/2001,167.5,0,0.166,0.104877738
10/8/2001,168,0,0.166,0.104877738
10/8/2001,168.5,0,0.166,0.107435253
10/8/2001,169,0,0.166,0.104877738
10/8/2001,169.5,0,0.166,0.107435253
10/8/2001,170,0,0.166,0.107845837
10/8/2001,170.5,0,0.166,0.105686116
10/8/2001,171,0,0.166,0.105686116
10/8/2001,171.5,0,0.166,0.105686116
10/8/2001,172,0,0.166,0.105686116
10/8/2001,172.5,0,0.166,0.105686116
10/8/2001,173,0,0.166,0.105686116
10/8/2001,173.5,0,0.166,0.105686116
10/8/2001,174,0,0.166,0.105686116
10/8/2001,174.5,0,0.166,0.105686116
10/8/2001,175,0,0.166,0.105686116
10/8/2001,175.5,0,0.166,0.105686116
10/8/2001,176,0,0.166,0.10825799
10/8/2001,176.5,0,0.166,0.106092639
10/8/2001,177,0.00426,0,0.106092639
10/8/2001,177.5,0.00853,0,0.106092639
10/8/2001,178,0,0,0.108671718
10/8/2001,178.5,0,0.04479,0.106500725
10/8/2001,179,0,0.166,0.106500725
10/8/2001,179.5,0,0.166,0.106500725
10/8/2001,180,0,0.166,0.105686116
10/8/2001,180.5,0,0.166,0.105686116
10/8/2001,181,0,0.166,0.105686116
10/8/2001,181.5,0,0.166,0.105281151
10/8/2001,182,0.01279,0,0.104877738
10/8/2001,182.5,0.08099,0,0.104075543
10/8/2001,183,33.20692,0,0.103676749
10/8/2001,183.5,41.8,0,0.102489513
10/8/2001,184,6.4,0,0.101705585
10/8/2001,184.5,2.8,0,0.101315873
10/8/2001,185,23.4,0,0.100155672
10/8/2001,185.5,26.7,0,0.099389595
10/8/2001,186,2.8,0,0.098629378
10/8/2001,186.5,1,0,0.097499941
10/8/2001,187,1.4,0,0.109087027
10/8/2001,187.5,0.9,0,0.264300677
10/8/2001,188,0.8,0,0.814531977
10/8/2001,188.5,0.28244,0,1.285060411
10/8/2001,189,0.27391,0,2.034157916
10/8/2001,189.5,0,0,3.458096533
10/8/2001,190,0,0,5.003935694
10/8/2001,190.5,0,0,5.919400931
10/8/2001,191,0,0,6.291854532
10/8/2001,191.5,0,0,6.573865281
10/9/2001,192,0,0,6.773320139
10/9/2001,192.5,0,0,6.682496224
10/9/2001,193,0,0,6.289771122
10/9/2001,193.5,0,0,5.718046314
10/9/2001,194,0,0,5.112436258
10/9/2001,194.5,0,0,4.530290464
10/9/2001,195,0,0,4.025233512
10/9/2001,195.5,0,0,3.598583739
10/9/2001,196,0,0,3.228442688
10/9/2001,196.5,0,0,2.907531547
10/9/2001,197,0,0,2.620630901
10/9/2001,197.5,0,0,2.372454539
10/9/2001,198,0,0,2.150398241
10/9/2001,198.5,0,0,1.958864458
